Date,Close,High,Low,Open,Volume
2010-01-04,219.46612548828125,222.6494602830588,208.51833888083172,222.6494602830588,76646086
2010-01-05,218.4866485595703,234.64818774246044,217.40513607825864,234.64818774246044,21392825
2010-01-06,222.0168914794922,223.3432821819457,218.47644870926436,220.3640010415154,23691760
2010-01-07,225.70013427734375,227.52647026885197,219.97626174355483,222.01686784616822,26197920
2010-01-08,225.1083984375,227.281639836028,223.6493726875637,226.09808675662632,15110149
2010-01-11,220.69049072265625,234.60736934070158,214.26261856784336,231.54645318952913,188649642
2010-01-12,221.2720489501953,232.07701115820828,219.77221262749364,223.4452900687217,32790509
2010-01-13,222.13931274414062,222.83310932321513,218.05811392883552,222.0168804575539,15360176
2010-01-14,228.89370727539062,229.52627411446463,221.60876798708244,221.60876798708244,24545629
2010-01-15,226.6592254638672,232.40350365854755,225.4960915069753,229.73031702534033,18766617
2010-01-18,224.36355590820312,227.82236317948264,222.822895227182,225.89400027744858,14172193
2010-01-19,221.40472412109375,225.70016617932552,220.92517038125337,224.4656132750371,13064666
2010-01-20,219.874267578125,223.87384523729395,218.75194427091103,223.44531857303474,19331024
2010-01-21,215.08908081054688,219.77225267718998,214.31366259329718,219.36413137359722,18611321
2010-01-22,215.04820251464844,218.54783376152292,210.07935683099373,212.4260433734506,39869565
2010-01-25,212.64036560058594,215.16049863274094,211.54865031334396,214.19121564946965,13393277
2010-01-27,209.68148803710938,214.26263263045016,208.14084079156575,210.99767607492842,24843485
2010-01-28,211.6404266357422,213.53818140473084,209.16110493278086,212.22199356971484,33223459
2010-01-29,213.4871826171875,214.6299111842316,207.75310715769032,210.77318524327083,23333042
2010-02-01,213.32394409179688,215.2829151749588,211.31394593386008,211.71186448920542,12132865
2010-02-02,209.63047790527344,215.55840508247235,208.97747841076296,214.67074368525564,17248998
2010-02-03,210.98745727539062,213.93611655497364,210.4058766744593,210.4058766744593,15052266
2010-02-04,207.96737670898438,211.81390020098445,206.91647228947912,211.81390020098445,11974603
2010-02-05,200.3253631591797,205.6411155547873,198.9581751814164,198.9581751814164,29882876
2010-02-08,202.90667724609375,204.94726965236146,198.9581273983111,200.99871980457883,25894932
2010-02-09,202.68223571777344,203.65151862244122,200.52941339386416,202.7842626294752,14292031
2010-02-10,201.01914978027344,204.03922800082327,200.38655570439803,204.03922800082327,18261247
2010-02-11,207.15113830566406,208.10001577136538,201.71294077548896,201.86599475565833,23450102
2010-02-15,206.1002197265625,209.5692434815418,205.61047695926246,209.5692434815418,13498617
2010-02-16,207.6817169189453,208.34490550727548,205.07994878108948,206.12065058753126,10068256
2010-02-17,210.70175170898438,211.77306136855705,208.55913238983902,209.16110470252528,15630122
2010-02-18,203.6106719970703,211.88529827023387,203.03930777042078,210.18139465791035,19834114
2010-02-19,200.63143920898438,203.03934242073782,199.39687271888917,203.03934242073782,17754534
2010-02-22,199.56015014648438,204.05965999150234,197.93786760362443,203.10057968353237,12692045
2010-02-23,199.0295867919922,200.59063948365818,197.9378579174175,198.75410049499175,12976934
2010-02-24,199.73358154296875,201.14159382709408,197.25425941402548,197.9378533623305,12487589
